customer_id,customer_name,region
1,Amit Sharma,North
2,Rahul Verma,South
3,Priya Singh,West
4,Neha Gupta,East
5,Arjun Mehta,North
6,Karan Patel,West
7,Sneha Joshi,North
8,Rohan Shah,South
9,Anjali Kapoor,East
10,Vivek Nair,South
11,Meera Iyer,West
12,Aditya Jain,North
13,Pooja Desai,West
14,Sachin Rao,South
15,Divya Menon,East
16,Nikhil Agarwal,North
17,Simran Kaur,North
18,Yash Kulkarni,West
19,Tanvi Bhatia,East
20,Akash Reddy,South
21,Harsh Gupta,North
22,Ritika Arora,West
23,Deepak Singh,East
24,Kriti Sharma,North
25,Mohit Malhotra,South
